website_type,tracking_type,tracking_number,created_at,loading_port,departure_time
EVERGREEN,BOOKING_NUMBER,020300261140,2023/07/24,MOJI (JP),2023/07/27 00:00:00
EVERGREEN,BOOKING_NUMBER,020300261115,2023/07/24,MOJI (JP),2023/07/27 00:00:00
EVERGREEN,BOOKING_NUMBER,020300208508,2023/07/05,MOJI (JP),2023/06/20 00:00:00
EVERGREEN,BOOKING_NUMBER,020300256979,2023/07/05,MOJI (JP),2023/07/11 00:00:00
EVERGREEN,BOOKING_NUMBER,503300016180,2023/09/26,HELSINGBORG (SE),2023/09/28 00:00:00
EVERGREEN,BOOKING_NUMBER,020300359735,2023/09/26,MOJI (JP),2023/09/27 00:00:00
EVERGREEN,BOOKING_NUMBER,341886721,2023/07/24,"TACOMA, WA (US)",2023/08/09 00:00:00
EVERGREEN,BOOKING_NUMBER,020300433196,2023/10/30,MOJI (JP),2023/12/05 00:00:00
EVERGREEN,BOOKING_NUMBER,020300259757,2023/07/19,MOJI (JP),2023/07/17 00:00:00
EVERGREEN,BOOKING_NUMBER,020300404366,2023/10/04,KOBE (JP),2023/10/27 00:00:00
EVERGREEN,BOOKING_NUMBER,020300404358,2023/10/04,KOBE (JP),2023/10/27 00:00:00
EVERGREEN,BOOKING_NUMBER,020300404340,2023/10/04,KOBE (JP),2023/10/20 00:00:00
EVERGREEN,BOOKING_NUMBER,020300404332,2023/10/04,KOBE (JP),2023/10/20 00:00:00
EVERGREEN,BOOKING_NUMBER,504100019662,2022/01/25,AARHUS (DK),2021/12/28 00:00:00
EVERGREEN,BOOKING_NUMBER,020300279570,2023/07/12,MOJI (JP),2023/08/02 00:00:00
EVERGREEN,BOOKING_NUMBER,020300291243,2023/07/12,KOBE (JP),2023/07/29 00:00:00
EVERGREEN,BOOKING_NUMBER,020300291252,2023/07/12,KOBE (JP),2023/08/12 00:00:00
EVERGREEN,BOOKING_NUMBER,020300291260,2023/07/12,KOBE (JP),2023/08/17 00:00:00
EVERGREEN,BOOKING_NUMBER,020300353435,2023/10/03,OSAKA (JP),2023/09/14 00:00:00
EVERGREEN,BOOKING_NUMBER,020300329542,2023/10/03,KOBE (JP),2023/09/12 00:00:00
